end_of_quarter,end_of_quarter_release,ticker,industry,increase
2021-01-02,2021-03-03,FLO,Packaged Foods,0.11126883620927884
2021-04-24,2021-05-27,FLO,Packaged Foods,0.12160260440212477
2021-07-17,2021-08-19,FLO,Packaged Foods,0.17959962054819906
2021-10-09,2021-11-19,FLO,Packaged Foods,-0.03823411498301008
2022-01-01,2022-03-02,FLO,Packaged Foods,0.011502923959554703
2022-04-23,2022-05-26,FLO,Packaged Foods,0.10587742385395571
2022-07-16,2022-08-18,FLO,Packaged Foods,0.02205757684865411
2022-10-08,2022-11-17,FLO,Packaged Foods,0.019758794429920717
2022-12-31,2023-03-01,FLO,Packaged Foods,-0.12360492288834614
2023-04-22,2023-05-25,FLO,Packaged Foods,-0.16462386121604508
2023-07-15,2023-08-17,FLO,Packaged Foods,-0.05083616710910169
2023-10-07,2023-11-16,FLO,Packaged Foods,0.14211648196735688
2023-12-30,2024-02-28,FLO,Packaged Foods,0.03647694343616189
2020-03-31,2020-05-06,MDLZ,Confectioners,0.12224481100188804
2020-06-30,2020-08-05,MDLZ,Confectioners,0.026586597676366695
2020-09-30,2020-11-10,MDLZ,Confectioners,0.09497870803677566
2020-12-31,2021-02-12,MDLZ,Confectioners,0.1435645373524209
2021-03-31,2021-05-05,MDLZ,Confectioners,0.026747867726956233
2021-06-30,2021-08-03,MDLZ,Confectioners,0.08345549397645548
2021-09-30,2021-11-09,MDLZ,Confectioners,0.06759741404994077
2021-12-31,2022-02-11,MDLZ,Confectioners,-0.02249532880572515
2022-03-31,2022-05-03,MDLZ,Confectioners,-0.020614491700279937
2022-06-30,2022-08-02,MDLZ,Confectioners,0.04329920474531611
2022-09-30,2022-11-08,MDLZ,Confectioners,0.22713618785460518
2022-12-31,2023-02-10,MDLZ,Confectioners,0.13890447590220434
2023-03-31,2023-05-04,MDLZ,Confectioners,-0.09941198723941377
2023-06-30,2023-08-03,MDLZ,Confectioners,0.03330474841540465
2023-09-30,2023-11-08,MDLZ,Confectioners,0.00018447724139288932
2023-12-31,2024-02-09,MDLZ,Confectioners,-0.06209617089943155
2020-03-31,2020-08-13,PBH,Drug Manufacturers - Specialty & Generic,0.1574760984750111
2020-06-30,2020-08-13,PBH,Drug Manufacturers - Specialty & Generic,0.1574760984750111
2020-09-30,2020-11-12,PBH,Drug Manufacturers - Specialty & Generic,0.33683309780140736
2020-12-31,2021-02-11,PBH,Drug Manufacturers - Specialty & Generic,0.336691325991215
2021-03-31,2021-08-12,PBH,Drug Manufacturers - Specialty & Generic,-0.0003367080345100368
2021-06-30,2021-08-12,PBH,Drug Manufacturers - Specialty & Generic,-0.0003367080345100368
2021-09-30,2021-11-11,PBH,Drug Manufacturers - Specialty & Generic,-0.09052132087359582
2021-12-31,2022-02-10,PBH,Drug Manufacturers - Specialty & Generic,-0.022544828557208504
2022-03-31,2022-08-11,PBH,Drug Manufacturers - Specialty & Generic,0.04195800138409486
2022-06-30,2022-08-11,PBH,Drug Manufacturers - Specialty & Generic,0.04195800138409486
2022-09-30,2022-11-10,PBH,Drug Manufacturers - Specialty & Generic,0.007070181678652253
2022-12-31,2023-02-09,PBH,Drug Manufacturers - Specialty & Generic,0.07474912145543333
2023-03-31,2023-08-10,PBH,Drug Manufacturers - Specialty & Generic,0.07012622920998848
2023-06-30,2023-08-10,PBH,Drug Manufacturers - Specialty & Generic,0.07012622920998848
2023-09-30,2023-11-09,PBH,Drug Manufacturers - Specialty & Generic,0.20831166717397187
2023-12-31,2024-02-15,PBH,Drug Manufacturers - Specialty & Generic,0.014539110464494586
2020-03-31,2020-05-08,CBOE,Financial Data & Stock Exchanges,-0.14812555181809264
2020-06-30,2020-08-07,CBOE,Financial Data & Stock Exchanges,0.026433092982520265
2020-09-30,2020-11-06,CBOE,Financial Data & Stock Exchanges,0.30663478894033624
2020-12-31,2021-02-26,CBOE,Financial Data & Stock Exchanges,0.2741450797247808
2021-03-31,2021-05-07,CBOE,Financial Data & Stock Exchanges,0.2423003840217386
2021-06-30,2021-08-06,CBOE,Financial Data & Stock Exchanges,-0.013569041944595397
2021-09-30,2021-11-05,CBOE,Financial Data & Stock Exchanges,-0.1325733261212486
2021-12-31,2022-02-25,CBOE,Financial Data & Stock Exchanges,0.04759700905365558
2022-03-31,2022-05-06,CBOE,Financial Data & Stock Exchanges,0.16317413128093133
2022-06-30,2022-08-05,CBOE,Financial Data & Stock Exchanges,0.039848299715638066
2022-09-30,2022-11-11,CBOE,Financial Data & Stock Exchanges,0.21238477360601388
2022-12-31,2023-02-24,CBOE,Financial Data & Stock Exchanges,0.16636902080020052
2023-03-31,2023-05-12,CBOE,Financial Data & Stock Exchanges,0.2701513186299661
2023-06-30,2023-08-11,CBOE,Financial Data & Stock Exchanges,0.2295225957898622
2023-09-30,2023-11-10,CBOE,Financial Data & Stock Exchanges,0.040885607719894974
